ORIGIN,DEST,AIRLINE_CODE,DISTANCE,NUM_VUELOS
OGG,HNL,HA,100.0,3529
HNL,OGG,HA,100.0,3448
SEA,ANC,AS,1448.0,2450
HNL,KOA,HA,163.0,2435
LIH,HNL,HA,102.0,2421
KOA,HNL,HA,163.0,2414
ANC,SEA,AS,1448.0,2394
HNL,LIH,HA,102.0,2382
MCO,ATL,DL,404.0,2334
ATL,MCO,DL,404.0,2303
LAX,DFW,AA,1235.0,2069
DFW,LAX,AA,1235.0,2046
DAL,HOU,WN,239.0,2011
HOU,DAL,WN,239.0,1995
ITO,HNL,HA,216.0,1956
ATL,LGA,DL,762.0,1908
LGA,ATL,DL,762.0,1907
HNL,ITO,HA,216.0,1879
ATL,FLL,DL,581.0,1876
SAN,SJC,WN,417.0,1876
FLL,ATL,DL,581.0,1869
SAN,SMF,WN,480.0,1862
TPA,ATL,DL,406.0,1850
SJC,SAN,WN,417.0,1849
ATL,TPA,DL,406.0,1825
SMF,SAN,WN,480.0,1808
LAX,ATL,DL,1947.0,1790
SEA,LAX,AS,954.0,1756
PHX,DEN,WN,602.0,1749
ATL,LAX,DL,1947.0,1739
DEN,PHX,WN,602.0,1710
DFW,AUS,AA,190.0,1708
DTW,ATL,DL,594.0,1703
DFW,ORD,AA,801.2291789722386,1693
LAX,SEA,AS,954.0,1685
ATL,DTW,DL,594.0,1683
ORD,DFW,AA,801.219512195122,1681
ATL,JAX,DL,270.0,1664
PHX,DFW,AA,868.0,1661
ATL,BOS,DL,946.0,1640
MCO,CLT,AA,468.0,1638
DFW,PHX,AA,868.0,1636
ATL,MSP,DL,907.0,1633
RDU,ATL,DL,356.0,1632
CLT,MCO,AA,468.0,1631
DFW,CLT,AA,936.0,1630
AUS,DFW,AA,190.0,1625
DFW,LGA,AA,1389.0,1620
DCA,ATL,DL,547.0,1618
DFW,MIA,AA,1121.0,1611
LGA,DFW,AA,1389.0,1605
MSP,ATL,DL,907.0,1603
SAT,DFW,AA,247.0,1593
CLT,DFW,AA,936.0,1589
LAS,DFW,AA,1055.0,1586
DFW,LAS,AA,1055.0,1580
LAX,SFO,OO,337.0,1579
LGA,DCA,YX,214.0,1576
BOS,DCA,B6,399.0,1572
ATL,RDU,DL,356.0,1564
JAX,ATL,DL,270.0,1563
IAH,DEN,UA,862.0,1555
BOS,ATL,DL,946.0,1549
MIA,DFW,AA,1121.0,1531
ATL,MIA,DL,594.0,1520
ATL,DCA,DL,547.0,1519
SFO,LAX,OO,337.0,1513
OAK,BUR,WN,325.0,1509
LGA,ORD,AA,733.0,1508
DEN,IAH,UA,862.0,1504
SAN,LAS,WN,258.0,1498
DFW,SAT,AA,247.0,1496
MIA,ATL,DL,594.0,1491
DCA,BOS,B6,399.0,1489
DCA,LGA,YX,214.0,1487
IAH,ORD,UA,925.0,1482
MCO,BWI,WN,787.0,1473
ATL,PBI,DL,545.0,1473
PBI,ATL,DL,545.0,1459
LAS,PHX,WN,255.0,1458
BWI,MCO,WN,787.0,1457
DEN,ORD,UA,888.0,1453
LAS,SAN,WN,258.0,1448
DEN,LAS,WN,628.0,1434
SFO,ORD,UA,1846.0,1431
BUR,OAK,WN,325.0,1429
ORD,LGA,AA,733.0,1422
PHX,LAS,WN,255.0,1420
DFW,MCO,AA,985.0,1419
SFO,EWR,UA,2565.0,1416
SAN,OAK,WN,446.0,1409
EWR,SFO,UA,2565.0,1408
ORD,SFO,UA,1846.0,1405
CLT,ORD,AA,599.0,1403
ORD,DEN,UA,888.0,1402
CHS,ATL,DL,259.0,1400
OAK,SAN,WN,446.0,1396
ATL,SLC,DL,1590.0,1387
LAX,JFK,B6,2475.0,1386
SEA,SFO,AS,679.0,1381
DEN,DFW,AA,641.0,1381
LGA,CLT,AA,544.0,1379
BUR,LAS,WN,223.0,1378
LAS,DEN,WN,628.0,1371
SLC,ATL,DL,1590.0,1369
DFW,DEN,AA,641.0,1367
EWR,MCO,UA,937.0,1365
ATL,BNA,DL,214.0,1362
LAS,BUR,WN,223.0,1362
ORD,IAH,UA,925.0,1360
MCO,DFW,AA,985.0,1359
MIA,LGA,AA,1096.0,1359
BOS,DCA,AA,399.0,1357
LAS,OAK,WN,407.0,1356
DCA,BOS,AA,399.0,1355
DCA,DFW,AA,1192.0,1354
MCO,EWR,UA,937.0,1352
EWR,ORD,UA,719.0,1352
LGA,MIA,AA,1096.0,1350
ATL,EWR,DL,746.0,1350
SJC,LAS,WN,386.0,1348
BOS,LGA,YX,184.0,1345
LAX,OAK,WN,337.0,1343
ORD,CLT,AA,599.0,1342
MSY,ATL,DL,425.0,1341
SFO,IAH,UA,1635.0,1340
JFK,LAX,B6,2475.0,1340
LAS,SJC,WN,386.0,1340
ATL,BWI,DL,577.0,1338
TPA,CLT,AA,507.0,1336
ATL,CHS,DL,259.0,1330
IAH,SFO,UA,1635.0,1330
CLT,TPA,AA,507.0,1323
EWR,ATL,DL,746.0,1320
LAX,JFK,AA,2475.0,1319
CLT,BOS,AA,728.0,1319
ATL,DFW,DL,731.0,1318
JFK,LAX,AA,2475.0,1318
LGA,BOS,YX,184.0,1317
SAN,PHX,WN,304.0,1316
DFW,SAN,AA,1171.0,1315
OAK,LAX,WN,337.0,1314
CLT,PHL,AA,449.0,1314
SFO,SEA,AS,679.0,1312
SJC,BUR,WN,296.0,1312
DEN,MDW,WN,895.0,1312
DAL,DEN,WN,651.0,1310
SJC,SNA,WN,342.0,1307
CLT,ATL,DL,226.0,1306
DEN,SFO,UA,967.0,1306
PHL,CLT,AA,449.0,1305
LAX,LAS,WN,236.0,1304
LAX,ORD,UA,1744.0,1302
CLT,LGA,AA,544.0,1299
BNA,ATL,DL,214.0,1298
SFO,DEN,UA,967.0,1296
IAH,EWR,UA,1400.0,1295
BWI,ATL,DL,577.0,1294
OAK,LAS,WN,407.0,1293
ORD,EWR,UA,719.0,1290
